n,k,beta,rbar_minus_A,min_P,max_Q_hat,max_K0,max_K1
7,1,-2,-3.329537515387581,2.335849608557244,-0.011247260166774303,-1.5273011474087637,-1.367091085437485
7,2,-2.5,-0.5816347982945284,4.287548891592381,-0.033938584495901356,-0.1098805824733566,-0.08190974300428151
8,1,-4,-1.671966799744021,5.365689777584345,-0.23721799308308458,-1.6655220595037021,-1.2591089099027462
8,2,-4,-0.6562637541969005,5.655168621723196,-0.6450997197206959,-1.2540600219661566,-0.59322565395724
8,3,-3,-1.2901309116480317,5.952576973694709,-1.0237495487382022,-1.7266093192704306,-1.8640266137087211
9,1,-5,-2.664917515467679,7.216611051147951,-0.306700978669287,-1.9840626844597842,-1.6691327190928902
9,2,-5,-0.9838714095522756,7.108817709009572,-0.96736256726475,-2.591565757541733,-1.712832555458778
9,3,-5,-0.6006388579586949,8.099469179547942,-1.4781215429576489,-1.2412789791154561,-0.6571385159863958
9,4,-4,-1.2609956802407962,11.029732476022739,-1.7201870957314522,-2.059840410703655,-2.161308491779243
9,5,-3,-1.4484526997439173,13.517376789610317,-1.4522658975085456,-1.0013475918104184,-1.6537039572713115
10,1,-6,-3.619436323953041,9.270666263805639,-0.3299675574871328,-2.2855181404123073,-2.0237276621444518
10,2,-6,-1.2613432995133596,8.709770310939806,-1.1180932555522343,-3.1204416312654573,-2.5875162283530058
10,3,-6,-0.7621792705123267,9.548557490362255,-1.8175422586844394,-2.5682082840384863,-1.5675544091768066
10,4,-6,-0.5437739574161506,14.407170660048731,-2.0307736901919866,-1.0967444303231297,-0.47226603429396097
10,5,-5,-1.1496184944257082,18.198569123352172,-2.1279231147602538,-1.9622163269066641,-1.964126073968912
10,6,-4,-1.5037541183464977,18.993337479441482,-1.788873252134428,-1.7094433897567356,-2.105889261602871
11,1,-7,-4.553926004267919,11.504697838286758,-0.3400151537565898,-2.5615105834883694,-2.3348940344369016
11,2,-7,-1.507365905078171,10.442385364296909,-1.2071782758697238,-3.335924959151859,-2.789229527266932
11,3,-7,-0.9017662600508936,11.073741626939189,-2.042685002210459,-3.751530284965956,-2.4646705636611794
11,4,-7,-0.6419180556642035,15.519236700115908,-2.3662396867616877,-2.460588212398615,-1.311886081408354
11,5,-7,-0.4963897839178497,21.407414367761827,-2.5776706712723008,-0.8925688339988308,-0.11411314508460577
11,6,-6,-1.0401739760872548,23.596685022382594,-2.522768366494239,-1.692266287568858,-1.5108585062883584
11,7,-5,-1.4292427806246168,24.662918130077813,-2.0883422789314006,-1.7548463197831528,-1.951805047054373
12,1,-8,-5.472240013607403,13.902993317557996,-0.34490360405819026,-2.8145561101027745,-2.6128436231369694
12,2,-8,-1.7308998616428573,12.294369528008692,-1.2663492391170037,-3.5471852211081694,-2.986581123368137
12,3,-8,-1.0262348009325537,12.686662079546725,-2.2060398992066306,-4.730906791126846,-3.3056192843893077
12,4,-8,-0.7284203658109094,16.734853525456522,-2.6168730918676713,-3.695314591525962,-2.1516461853054083
12,5,-8,-0.5633163502058003,25.207099110004602,-2.9198979339125204,-2.306469153509557,-0.9446653822478661
12,6,-7,-1.2010869805284785,26.578170094255913,-2.902807045527783,-4.067815156427892,-3.502454128856863
12,7,-7,-0.9466723962120106,28.98862782221683,-2.9165219079602283,-1.345251415851308,-0.8842864868978525
